concept,text,pleasant,attention,sensitivity,aptitude,polarity
affixed,affixed,0.993,-0.893,0,0.891,0.926
afflict,afflict,-0.743,0,0.622,-0.867,-0.744
affliction,affliction,-0.912,0,0.921,-0.733,-0.855
afford,afford,-0.041,0.292,-0.106,0.173,0.106
affray,affray,-0.818,0,0.52,-0.875,-0.738
affright,affright,-0.464,0.391,-0.195,-0.176,-0.148
affront,affront,-0.927,0,0.699,-0.936,-0.854
afibrinogenemia,afibrinogenemia,-0.905,0,0.578,-0.925,-0.803
aficionado,aficionado,0.703,-0.513,0,0.811,0.676
afire,afire,0.641,-0.733,0,0.798,0.724
aflame,aflame,0.641,-0.733,0,0.798,0.724
aflare,aflare,0.641,-0.733,0,0.798,0.724
afloat,afloat,-0.997,0,0.658,-0.736,-0.797
afoot,afoot,0.535,-0.586,0,0.748,0.623
afraid,afraid,-0.446,0.311,0.049,-0.398,-0.194
afraid_death,afraid death,-0.853,0,0,-0.734,-0.529
afraid_of,afraid of,-0.932,0,0.096,-0.929,-0.652
after_dinner,after dinner,0.046,0.201,-0.053,0.115,0.103
after_exercise,after exercise,0.125,0.097,0,0.152,0.125
after_fire,after fire,-0.957,0,0.475,-0.917,-0.783
after_lunch,after lunch,0.077,0,0.009,0,0.023
after_meal,after meal,0.046,-0.66,0,0.365,0.357
after_school,after school,0.053,-0.12,0.015,-0.036,0.041
after_shower,after shower,0,0.877,0,0,0.292
after_sundown,after sundown,-0.119,0,-0.059,0,-0.059
afterimage,afterimage,-0.768,0,0.629,-0.718,-0.705
afternoon,afternoon,0.02,0.067,0,0,0.029
aftersensation,aftersensation,-0.768,0,0.629,-0.718,-0.705
again_and_again,again and again,0,0.338,-0.162,0.355,0.177
against,against,-0.086,0.108,-0.086,-0.165,-0.076
against_law,against law,-0.285,0.214,-0.351,0.206,-0.072
agamic,agamic,-0.686,0,0.779,-0.863,-0.776
agamogenesis,agamogenesis,-0.688,0,0.827,-0.704,-0.74
agamogenetic,agamogenetic,-0.686,0,0.779,-0.863,-0.776
agamous,agamous,-0.686,0,0.779,-0.863,-0.776
agape,agape,0.807,-0.92,0,0.796,0.841
agaric,agaric,-0.69,0,0.597,-0.705,-0.664
age,age,0.074,-0.06,0,0,0.045
age_gracefully,age gracefully,-0.119,0.093,-0.07,0,-0.032
age_prematurely,age prematurely,-0.951,0,0.924,-0.937,-0.937
age_skin,age skin,-0.068,0,-0.08,-0.081,-0.076
age_well,age well,0.909,0.983,0,0,0.631
aged,aged,0.789,-0.58,0,0.715,0.695
agelessness,agelessness,-0.834,0,0.696,-0.989,-0.84
agency,agency,0.065,0.235,-0.112,0.184,0.124
agenda,agenda,0.055,-0.017,0,0.106,0.059
agent,agent,0.962,-0.898,0,0.855,0.905
agglomerate,agglomerate,-0.77,0,0.588,-0.801,-0.72
agglomeration,agglomeration,-0.635,0,0.862,-0.523,-0.673
aggrandize,aggrandize,0.54,-0.976,0,0.569,0.695
aggravate,aggravate,-0.121,0.069,0.703,-0.673,-0.476
aggravated,aggravated,-0.121,0.069,0.703,-0.673,-0.476
aggravating,aggravating,0.652,-0.649,0,0.953,0.751
aggravation,aggravation,-0.139,0,0.703,-0.727,-0.523
aggregation,aggregation,0.553,-0.8,0,0.908,0.754
aggress,aggress,-0.754,0,0.886,-0.726,-0.789
aggression,aggression,-0.062,0.128,0.707,-0.677,-0.439
aggressive,aggressive,0,0,-0.859,-0.936,-0.598
aggressiveness,aggressiveness,0,0.3,0.6,0,-0.1
aggrieve,aggrieve,-0.894,0.161,-0.613,0.053,-0.431
aggroup,aggroup,0.867,-0.846,0,0.876,0.863
agile,agile,0.709,0,0,0.989,0.566
agility,agility,-0.046,0.109,-0.061,0.121,0.041
agitate,agitate,-0.988,0,-0.875,0,-0.621
agitated,agitated,-0.871,0.79,0,-0.951,-0.344
agitation,agitation,-0.712,0,0.928,-0.741,-0.794
agnathan,agnathan,-0.758,0,0.76,-0.812,-0.777
agnosia,agnosia,-0.738,0,0.955,-0.547,-0.747
agnostic,agnostic,0.55,-0.981,0,0.794,0.775
agony,agony,-0.858,0,0.791,-0.788,-0.812
agranulocytosis,agranulocytosis,-0.503,0,0.696,-0.644,-0.614
agree,agree,0.723,0,0,0.98,0.568
agree_disagree,agree disagree,-0.103,0.086,-0.074,-0.03,-0.04
agreeability,agreeability,0.604,-0.576,0,0.935,0.705
agreeable,agreeable,0.509,-0.626,0,0.786,0.64
agreed_upon,agreed upon,-0.957,0,0.783,-0.654,-0.798
agreement,agreement,0.808,0,0,0.943,0.584
agricultural,agricultural,0,0.094,0.02,0.09,0.055
agricultural_product,agricultural product,0,0.073,0.052,0.082,0.034
agriculture,agriculture,0,0.08,0.012,0.067,0.045
agromania,agromania,-0.898,0,0.987,-0.904,-0.93
ahead,ahead,0.844,0,0,0,0.281
ahorse,ahorse,0.535,-0.586,0,0.748,0.623
ahorseback,ahorseback,0.535,-0.586,0,0.748,0.623
aid,aid,0.751,0,0,0.716,0.489
aide,aide,0,0,0,0.876,0.292
aids,aids,-0.989,0,0.942,-0.9,-0.944
ail,ail,-0.732,0,0.865,-0.878,-0.825
ailment,ailment,-0.185,0.071,-0.17,-0.176,-0.153
aim,aim,0.023,0.106,0.012,-0.028,0.03
aimless,aimless,-0.997,0,0.658,-0.736,-0.797
air,air,0.909,0.983,0,0,0.631
air_attack,air attack,0.954,-0.87,0,0.583,0.802
air_breathe,air breathe,0.032,0.106,-0.065,0,0.024
air_bubble,air bubble,-0.559,0,0.869,-0.838,-0.755
air_conditioner,air conditioner,0.046,-0.03,0,0,0.025
air_density,air density,0.728,0.977,0,0.939,0.881
air_grievance,air grievance,-0.848,0,0.969,-0.85,-0.889
air_marshal,air marshal,0.74,-0.539,0,0.641,0.64
air_movement,air movement,0.116,0.129,-0.058,0.053,0.08
air_out,air out,-0.819,0,0.504,-0.966,-0.763
air_pollution,air pollution,-0.706,0,0,-0.9,-0.535
air_pressure,air pressure,0.728,0.977,0,0.939,0.881
air_pump,air pump,0.116,0.129,-0.058,0.053,0.08
air_raid,air raid,0.954,-0.87,0,0.583,0.802
air_tank,air tank,-0.045,0.118,-0.069,0.102,0.035
air_ticket,air ticket,0.105,0.226,-0.083,0.176,0.141
air_traffic,air traffic,-0.987,0,0.989,-0.933,-0.97
air_traffic_controller,air traffic controller,0,-0.076,0,0.081,0.052
air_vent,air vent,0,-0.01,0,0.069,0.026
aircraft,aircraft,0.627,0.61,-0.24,0.234,0.41
aircraft_carrier,aircraft carrier,-0.045,0.092,0,0.062,0.036
aircraft_roadway,aircraft roadway,0.119,0,0.047,0,0.024
airfield,airfield,-0.975,0,0.737,-0.979,-0.897
airheaded,airheaded,-0.799,0,0.904,-0.652,-0.785
airline,airline,0,-0.01,0,0.069,0.026
airline_seat,airline seat,0.034,-0.054,0.04,-0.123,-0.025
airliner,airliner,0,-0.01,0,0.069,0.026
airmanship,airmanship,0.607,-0.997,0,0.847,0.817
airplane,airplane,0.064,0.127,-0.181,0.158,0.056
airplane_engine,airplane engine,0.064,0.127,-0.181,0.158,0.056
airplane_seat,airplane seat,0,-0.058,0.03,-0.109,-0.027
airport,airport,0,0.147,0,0.099,0.082
airport_terminal,airport terminal,0,0.147,0,0.099,0.082
airs,airs,-0.562,0,0.757,-0.991,-0.77
airstrip,airstrip,-0.975,0,0.737,-0.979,-0.897
airy,airy,0.116,0.129,-0.058,0.053,0.08
aisle,aisle,0.029,0.087,0.065,0.137,0.063
alarm,alarm,0,0,-0.775,-0.855,-0.543
alarm_clock_ring,alarm clock ring,-0.024,0.093,-0.068,0.079,0.027
alarmed,alarmed,-0.46,0.393,-0.186,-0.173,-0.142
alarming,alarming,-0.524,0,0.71,-0.942,-0.725
albinism,albinism,-0.917,0,0.961,-0.556,-0.811
album_collection,album collection,-0.05,0.21,-0.072,0.102,0.063
alchemist,alchemist,0.02,0.15,-0.153,0.077,0.031
alcohol,alcohol,0.11,-0.013,0,0,0.041
alcohol_abuse,alcohol abuse,-0.514,0,0.97,-0.626,-0.703
alcohol_drink,alcohol drink,0.074,0,0,0,0.025
alcoholic,alcoholic,0.137,-0.025,0,-0.074,0.029
alcoholic_abuse,alcoholic abuse,-0.514,0,0.97,-0.626,-0.703
alcoholic_beverage,alcoholic beverage,0,0,0,-0.912,-0.304
alcoholic_dementia,alcoholic dementia,-0.947,0,0.821,-0.756,-0.841
alcoholic_drink,alcoholic drink,0,0.948,0,0,0.316
alcoholism,alcoholism,-0.799,0,0,-0.811,-0.537
alcoholism_abuse,alcoholism abuse,-0.514,0,0.97,-0.626,-0.703
aldactone,aldactone,-0.547,0,0.977,-0.558,-0.694
aldose,aldose,-0.552,0,0.904,-0.747,-0.734
ale,ale,0.143,0,0.013,0,0.043
alert,alert,-0.799,0,0,-0.811,-0.537
alfilaria,alfilaria,-0.994,0,0.735,-0.749,-0.826
alfileria,alfileria,-0.994,0,0.735,-0.749,-0.826
alga,alga,-0.659,0,0.523,-0.739,-0.64
algae,algae,-0.632,0,0.812,-0.82,-0.755
algebra,algebra,0.043,-0.044,0.065,0.05,0.024
alias,alias,0.056,0.183,-0.126,0.188,0.1
alibi,alibi,-0.105,0,0,-0.167,-0.091
alien,alien,-0.038,0.118,0.472,-0.469,-0.287
alienage,alienage,-0.864,0,0.941,-0.622,-0.809
alienate,alienate,-0.106,0.176,0.629,-0.642,-0.4
alienated,alienated,-0.106,0.176,0.629,-0.642,-0.4
alienation,alienation,-0.106,0.176,0.629,-0.642,-0.4
alienism,alienism,-0.864,0,0.941,-0.622,-0.809
alight,alight,0.641,-0.733,0,0.798,0.724
align,align,-0.756,0,0.514,-0.672,-0.647
alike,alike,0,0.213,-0.073,0.308,0.149
alikeness,alikeness,-0.894,0,0.58,-0.723,-0.732
alimentary,alimentary,0.656,-0.731,0,0.736,0.708
alimentary_canal,alimentary canal,-0.823,0,0.67,-0.848,-0.78
alimentary_tract,alimentary tract,-0.823,0,0.67,-0.848,-0.78
alimony,alimony,-0.063,0.19,-0.138,0.102,0.03
alive,alive,0.027,0.132,-0.06,0.182,0.094
aliyah,aliyah,0.682,-0.705,0,0.98,0.789
alkalemia,alkalemia,-0.503,0,0.696,-0.644,-0.614
alkali_poisoning,alkali poisoning,-0.72,0,0.884,-0.758,-0.787
alkaline,alkaline,0.045,0,0,0.051,0.032
alky,alky,0.556,-0.791,0,0.755,0.701
alkyl,alkyl,-0.812,0,0.631,-0.995,-0.813
alkyl_group,alkyl group,-0.812,0,0.631,-0.995,-0.813
alkyl_radical,alkyl radical,-0.812,0,0.631,-0.995,-0.813
all_important,all important,0.86,-0.857,0,0.864,0.86
all_of_it,all of it,0.038,0.204,0,0.258,0.167
all_right,all right,0.065,0.351,-0.173,0.395,0.213
allay,allay,0.615,0.643,-0.247,0.29,0.434
allayer,allayer,0.81,-0.693,0,0.741,0.748
allegation,allegation,-0.962,0,0.261,-0.95,-0.724
alleged,alleged,0.843,-0.935,0,0.952,0.91
allegory,allegory,0.844,-0.572,0,0.576,0.664
allergic_reaction,allergic reaction,-0.063,0.183,0.651,-0.642,-0.391
allergic_rhinitis,allergic rhinitis,-0.606,0,0.931,-0.922,-0.82
allergy,allergy,-0.961,0,0.848,-0.824,-0.878
allergy_symptom,allergy symptom,-0.943,0,0.891,-0.939,-0.924
alleviate,alleviate,0.676,-0.706,0,0.8,0.727
alleviate_boredom,alleviate boredom,0.738,0.961,0,0,0.566
alleviated,alleviated,-0.793,0,0.817,-0.538,-0.716
alleviative,alleviative,0.761,-0.751,0,0.77,0.761
alley,alley,0.749,0,0,0,0.25
alleyway,alleyway,0.749,0,0,0,0.25
alligator,alligator,0,0,-0.071,0,-0.024
allocation,allocation,0.732,-0.833,0,0.566,0.71
allomerism,allomerism,-0.836,0,0.546,-0.88,-0.754
allot,allot,0.519,-0.991,0,0.741,0.75
allotment,allotment,0,0.108,0.029,0.09,0.056
allow,allow,0,0,0,0.964,0.321
allowance,allowance,0.924,0.968,0,0.876,0.923
alloy,alloy,0.04,0,0.017,0.056,0.026
alloy_cast_iron,alloy cast iron,0.706,-0.941,0,0.622,0.756
alloy_iron,alloy iron,0.706,-0.941,0,0.622,0.756
alloyed,alloyed,-0.818,0,0.668,-0.873,-0.786
allure,allure,0.817,-0.626,0,0.62,0.688
allurement,allurement,0.817,-0.626,0,0.62,0.688
alluring,alluring,0.969,-0.848,0,0.837,0.885
allusiveness,allusiveness,-0.629,0,0.69,-0.765,-0.695
alluviation,alluviation,0.614,-0.956,0,0.584,0.718
ally,ally,0.716,-0.51,0,0.647,0.624
almighty,almighty,0.064,0.225,-0.091,0.232,0.143
almond,almond,0.128,0,0,0.092,0.073
almost_always,almost always,-0.046,0,-0.116,0,-0.054
almost_complete,almost complete,0.445,0.37,-0.142,0.483,0.385
almost_fall,almost fall,0,0,-0.903,0,-0.301
almost_finish,almost finish,-0.987,0,0.989,-0.933,-0.97
almost_there,almost there,0.681,-0.572,0,0.632,0.628
alms,alms,0.053,0.248,-0.185,0.258,0.125
aloe,aloe,0.574,-0.564,0,0.911,0.683
alone,alone,-0.81,0,-0.901,0,-0.57
alone_long_time,alone long time,-0.921,0,0.779,-0.704,-0.801
aloneness,aloneness,-0.58,0,0.925,-0.632,-0.712
along_beach,along beach,-0.065,0.07,0.03,0.138,0.038
aloofness,aloofness,-0.93,0,0,-0.726,-0.552
alp,alp,0,0.069,0,0.065,0.045
alpaca,alpaca,-0.535,0,0.751,-0.971,-0.752
alpha,alpha,0.053,0.248,-0.185,0.258,0.125
alpha_male,alpha male,0,0,-0.122,0,-0.041
alpha_radiation,alpha radiation,0.509,-0.721,0,0.657,0.629
alpha_ray,alpha ray,0.509,-0.721,0,0.657,0.629
alpha_test,alpha test,0.928,-0.879,0,0.679,0.829
alphabet,alphabet,0.03,0.068,-0.095,0.139,0.047
alphabet_soup,alphabet soup,-0.625,0,0.988,-0.591,-0.735
alpine_milk_vetch,alpine milk vetch,-0.943,0,0.608,-0.954,-0.835
altar,altar,0.027,0.24,0,0.226,0.164
altar_boy,altar boy,-0.677,0,0.994,-0.503,-0.725
alter,alter,-0.039,0.224,0,0.221,0.135
alter_state_consciousness,alter state consciousness,0.119,0.197,-0.263,0.153,0.069
alterable,alterable,0.623,-0.566,0,0.974,0.721
alteration,alteration,0.772,-0.923,0,0.524,0.74
altercate,altercate,0.915,-0.847,0,0.778,0.847
altercation,altercation,-0.601,0,0.777,-0.51,-0.629
altered,altered,-0.623,0,0.657,-0.955,-0.745
alternate,alternate,0,0,-0.081,0.167,0.029
alternative,alternative,0.02,0.277,-0.119,0.336,0.171
alternative_energy,alternative energy,-0.791,0,0.997,-0.687,-0.825
altitude,altitude,0.023,0.113,0.053,0.153,0.079
alto,alto,0.034,0,0.01,0.087,0.037
altogether,altogether,-0.947,0,0.991,-0.656,-0.865
altruistic,altruistic,0.075,0.252,-0.147,0.186,0.122
alumina,alumina,-0.591,0,0.804,-0.804,-0.733
aluminium,aluminium,0.057,0,0.012,0.08,0.042
aluminium_foil,aluminium foil,0.716,-0.791,0,0.543,0.683
aluminium_oxide,aluminium oxide,-0.591,0,0.804,-0.804,-0.733
aluminum,aluminum,0.044,-0.661,0,0.361,0.355
aluminum_foil,aluminum foil,0.716,-0.791,0,0.543,0.683
aluminum_oxide,aluminum oxide,-0.591,0,0.804,-0.804,-0.733
alveolar_resorption,alveolar resorption,0.972,-0.933,0,0.862,0.922
alveolar_rhabdomyosarcoma,alveolar rhabdomyosarcoma,0.645,-0.805,0,0.902,0.784
alveolar_rhabdosarcoma,alveolar rhabdosarcoma,0.645,-0.805,0,0.902,0.784
alveolus,alveolus,0.681,-0.632,0,0.647,0.653
always_read,always read,-0.041,0.226,-0.143,0.255,0.099
amass,amass,-0.593,0,0.604,-0.951,-0.716
amateur,amateur,-0.982,0,0.937,-0.689,-0.869
amateurishness,amateurishness,0.983,-0.637,0,0.697,0.772
amative,amative,0.531,0.673,-0.276,0.275,0.401
amativeness,amativeness,0.982,-0.72,0,0.615,0.772
amatory,amatory,0.531,0.673,-0.276,0.275,0.401
amaze,amaze,0,-0.735,0,0,0.245
amaze_friend,amaze friend,-0.052,-0.197,-0.179,0.219,0.062
amazed,amazed,0.045,-0.662,0,0.363,0.357
amazement,amazement,0,-1,0,0,0.333
amazing,amazing,0.045,-0.662,0,0.363,0.357
amazingly,amazingly,0.045,-0.664,0,0.363,0.357
amazon,amazon,-0.687,0,0.947,-0.839,-0.824
ambassador,ambassador,0.029,0.157,-0.074,0.12,0.077
ambiguity,ambiguity,0.633,-0.67,0,0.776,0.693
ambition,ambition,0.053,0.207,-0.073,0.165,0.117
ambitious,ambitious,0.913,-0.833,0,0.739,0.828
ambiversion,ambiversion,-0.648,0,0.574,-0.89,-0.704
ambulance,ambulance,0,0,-0.131,-0.149,-0.093
ambulant_plague,ambulant plague,-0.861,0,0.825,-0.544,-0.743
ambush,ambush,0.02,0.162,0,0.062,0.081
ameba,ameba,0.96,-0.526,0,0.641,0.709
amebiasis,amebiasis,-0.742,0,0.559,-0.742,-0.681
amebic_dysentery,amebic dysentery,-0.742,0,0.559,-0.742,-0.681
amebiosis,amebiosis,-0.742,0,0.559,-0.742,-0.681
amelia,amelia,-0.579,0,0.888,-0.883,-0.783
ameliorate,ameliorate,0.969,-0.868,0,0.631,0.823
ameliorating,ameliorating,0.618,-0.604,0,0.747,0.656
ameliorative,ameliorative,0.618,-0.604,0,0.747,0.656
amelioratory,amelioratory,0.618,-0.604,0,0.747,0.656
amenability,amenability,0.637,-0.911,0,0.757,0.768
amenable,amenable,0.933,-0.755,0,0.89,0.859
amend,amend,0.881,-0.869,0,0.688,0.813
amendable,amendable,0.779,-0.882,0,0.521,0.727
amendment,amendment,0,0.173,-0.067,0.126,0.077
amends,amends,-0.759,0,0.805,-0.709,-0.758
amentia,amentia,-0.602,0,0.827,-0.762,-0.73
american,american,0,0.195,0,0.097,0.097
american_coin,american coin,0,0.09,0.077,0.069,0.027
american_express,american express,0.035,0.267,-0.097,0.093,0.099
american_flag,american flag,0.076,0.067,0,0.056,0.066
american_forest,american forest,0.03,0.068,-0.061,0.062,0.033
american_money,american money,0,0.112,0.071,0.089,0.043
american_sport,american sport,0,-0.081,0,0.075,0.052
amethopterin,amethopterin,-0.571,0,0.967,-0.786,-0.775
amethyst,amethyst,0.037,0.073,0.027,0.072,0.052
ametria,ametria,-0.666,0,0.687,-0.594,-0.649
ametropia,ametropia,-0.731,0,0.581,-0.945,-0.752
amiability,amiability,0.544,-0.712,0,0.727,0.661
amiable,amiable,0.206,0.151,-0.165,0.169,0.12
amiableness,amiableness,0.657,-0.56,0,0.749,0.655
amicability,amicability,0.608,0.647,-0.266,0.325,0.438
amicable,amicable,0.608,0.647,-0.266,0.325,0.438
amicableness,amicableness,0.608,0.647,-0.266,0.325,0.438
amicably,amicably,0.608,0.647,-0.266,0.325,0.438
aminomethane,aminomethane,-0.812,0,0.631,-0.995,-0.813
amiss,amiss,-0.732,0,0.787,-0.662,-0.727
ammonification,ammonification,0.789,-0.925,0,0.964,0.893
ammunition,ammunition,-0.032,-0.037,0,-0.171,-0.055
amnesia,amnesia,-0.969,0,0.907,-0.959,-0.945
amnesty,amnesty,0.73,-0.569,0,0.621,0.64
amobarbital,amobarbital,-0.838,0,0.713,-0.992,-0.848
amobarbital_sodium,amobarbital sodium,-0.838,0,0.713,-0.992,-0.848
amoeba,amoeba,0,0.065,0.021,0.052,0.032
amoebiasis,amoebiasis,-0.742,0,0.559,-0.742,-0.681
amoebic_dysentery,amoebic dysentery,-0.696,0,0.958,-0.523,-0.726
amoebiosis,amoebiosis,-0.742,0,0.559,-0.742,-0.681
amok,amok,-0.072,0.192,0.634,-0.635,-0.383
amoralism,amoralism,0.95,-0.772,0,0.578,0.767
amorous,amorous,0.531,0.673,-0.276,0.275,0.401
amorousness,amorousness,0.531,0.673,-0.276,0.275,0.401
amorphous,amorphous,-0.646,0,0.557,-0.739,-0.647
amount,amount,0,0.236,0.031,0.158,0.121
amount_charge,amount charge,0,0.266,0,0.141,0.136
amount_due,amount due,-0.048,0.268,0,0.158,0.126
amount_money,amount money,-0.026,0.254,0,0.147,0.125
amount_nothing,amount nothing,-0.122,-0.006,-0.143,0.061,-0.066
amount_owe,amount owe,-0.063,0.288,-0.095,0.171,0.1
amount_pay,amount pay,-0.041,0.263,0,0.159,0.127
amount_water,amount water,-0.059,0.073,0.073,0.158,0.033
amount_waterment,amount waterment,-0.059,0.073,0.073,0.158,0.033
amour,amour,0.982,0.851,0,0.902,0.912
amour_propre,amour propre,0.469,0.661,-0.249,0.23,0.37
ampere,ampere,0,-0.014,-0.122,0.223,0.038
amphibian,amphibian,0,0,0.073,0,-0.024
amphibology,amphibology,0.633,-0.67,0,0.776,0.693
amphiboly,amphiboly,0.633,-0.67,0,0.776,0.693
amphipod,amphipod,0.96,-0.772,0,0.929,0.887
amphiprostylar,amphiprostylar,-0.659,0,0.878,-0.868,-0.802
amphiprostyle,amphiprostyle,-0.659,0,0.878,-0.868,-0.802
amphisbaena,amphisbaena,-0.651,0,0.505,-0.919,-0.692
amphistylar,amphistylar,-0.659,0,0.878,-0.868,-0.802
amphitheater,amphitheater,0.136,-0.056,-0.046,-0.03,0.039
amplifier,amplifier,0.056,-0.019,0.036,0.073,0.037
amplify,amplify,-0.765,0,0.86,-0.667,-0.764
amplitude,amplitude,0.023,0.096,0.021,0.175,0.091
amplitude_level,amplitude level,-0.756,0,0.589,-0.719,-0.688
ampulla,ampulla,0.619,-0.834,0,0.912,0.788
amuck,amuck,-0.072,0.192,0.634,-0.635,-0.383
amuse,amuse,0.933,0.85,0,0.966,0.916
amuse_child,amuse child,0.987,0,0,0.868,0.618
amuse_oneself,amuse oneself,0.959,0,0,0.929,0.629
amusement,amusement,0.969,0.817,0,0.828,0.871
amusement_park,amusement park,0.056,-0.019,0.036,0.073,0.037
amusement_ride,amusement ride,0.114,0,-0.058,0.114,0.057
amyotrophia,amyotrophia,-0.566,0,0.96,-0.704,-0.743
amyotrophy,amyotrophy,-0.566,0,0.96,-0.704,-0.743
anaemia,anaemia,0.594,-0.589,0,0.885,0.689
anaesthesia,anaesthesia,-0.668,0,0.876,-0.978,-0.841
anaesthetic,anaesthetic,-0.669,0,0.636,-0.771,-0.692
anagnost,anagnost,0.546,-0.768,0,0.74,0.685
anagram,anagram,0,0,0.041,0.172,0.044
analgesic,analgesic,0.969,0.817,0,0.828,0.871
analgetic,analgetic,0.761,-0.751,0,0.77,0.761
analphabet,analphabet,-0.901,0,0.76,-0.871,-0.844
analphabetic,analphabetic,-0.901,0,0.76,-0.871,-0.844
analphabetism,analphabetism,-0.784,0,0.707,-0.868,-0.786
analysis,analysis,-0.102,0.176,0,0,0.025
analyst,analyst,0.711,0,0,0,0.237
analyze,analyze,0,-0.092,0,0.08,0.057
analyze_book,analyze book,0.047,0.555,-0.337,0.171,0.145
anamnesis,anamnesis,0.685,-0.896,0,0.609,0.73
anarchic,anarchic,-0.891,0,0.678,-0.62,-0.73
anarchical,anarchical,-0.891,0,0.678,-0.62,-0.73
anarchism,anarchism,-0.819,-0.715,0.843,-0.726,-0.558
anarchy,anarchy,-0.868,0,0.859,-0.918,-0.882
anathemize,anathemize,-0.836,0,0.555,-0.642,-0.678
anatomy,anatomy,0,0.078,0,0.096,0.058
anchoritic,anchoritic,-0.948,0,0.779,-0.858,-0.862
ancient,ancient,0,0.078,0,0.096,0.058
ancient_artifact,ancient artifact,0.086,-0.107,0.064,0,0.043
ancient_rome,ancient rome,-0.038,0.092,0.07,0.1,0.028
anemic_anoxia,anemic anoxia,-0.734,0,0.765,-0.633,-0.711
anemone,anemone,0,0.068,-0.065,0.081,0.028
anergy,anergy,-0.65,0,0.744,-0.802,-0.732
anesthesia,anesthesia,-0.651,0,0.824,-0.869,-0.781
anesthetic,anesthetic,-0.669,0,0.636,-0.771,-0.692
aneurism,aneurism,-0.641,0,0.739,-0.953,-0.778
aneurysm,aneurysm,-0.901,0,0.849,-0.53,-0.76
anfractuous,anfractuous,-0.93,0,0.861,-0.504,-0.765
angel,angel,0.99,0,0,0.982,0.657
angelic,angelic,0.936,-0.815,0,0.83,0.86
anger,anger,-0.339,-0.14,0.217,-0.584,-0.333
angered,angered,-0.137,0.145,0.624,-0.638,-0.418
angina,angina,-0.656,0,0.579,-0.674,-0.636
angioedema,angioedema,-0.998,0,0.605,-0.764,-0.789
angioplasty,angioplasty,-0.502,0,0.596,-0.766,-0.621
angle,angle,0.039,0.08,0.091,0.067,0.032
angle_grinder,angle grinder,0,-0.041,0,-0.158,-0.039
angler,angler,0.073,-0.022,0,0,0.032
anglophobe,anglophobe,-0.559,0,0.689,-0.806,-0.685
angrily,angrily,-0.161,0.179,0.568,-0.612,-0.387
angry,angry,0,0,0.869,0,-0.29
angry_behavior,angry behavior,-0.103,-0.049,0,-0.147,-0.067
angry_emotion,angry emotion,0,0,0.959,0,-0.32
angry_man,angry man,-0.944,0,0.129,-0.971,-0.681
angry_mob,angry mob,-0.211,0.078,-0.146,-0.117,-0.132
angry_person,angry person,0,-0.005,-0.048,-0.155,-0.066
